Year,Country,Title
2019,United States,Ma
2019,United States,Midsommar
2019,United States,Pet Sematary
2019,United States,The Prodigy
2019,United States,Ready or Not
2019,United States,Scary Stories to Tell in the Dark
2019,United States,Sweetheart
2019,United States,The Curse of La Llorona
2019,United States,The Russian Bride [es]
2019,United States,Us
2019,United States,Velvet Buzzsaw
