IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt5979874,Godzilla: Planet of the Monsters,movie,2017,Japan,"Animation, Action, Sci-Fi",N/A,N/A,TV-14,N/A,6.0,"6,751"
tt3896198,Guardians of the Galaxy Vol. 2,movie,2017,USA,"Action, Adventure, Comedy, Sci-Fi",Nominated for 1 Oscar. Another 12 wins & 42 nominations.,Walt Disney Pictures,PG-13,67,7.6,"507,090"
tt3859310,How to Talk to Girls at Parties,movie,2017,"UK, USA","Comedy, Music, Romance, Sci-Fi",3 nominations.,A24,R,50,5.7,"8,014"
tt5464234,Kill Switch,movie,2017,"Netherlands, Germany, USA","Action, Sci-Fi, Thriller",N/A,Filmnation/Saban,R,31,4.8,"6,434"
tt0974015,Justice League,movie,2017,"USA, Canada, UK","Action, Adventure, Fantasy, Sci-Fi",1 win & 6 nominations.,Warner Bros. Pictures,PG-13,45,6.4,"345,942"
tt2923834,The Last Scout,movie,2017,"UK, Germany",Sci-Fi,N/A,N/A,N/A,N/A,4.7,"1,379"
tt5442430,Life,movie,2017,USA,"Horror, Sci-Fi, Thriller",5 nominations.,Skydance Films,R,54,6.6,"188,506"
tt3315342,Logan,movie,2017,USA,"Action, Drama, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 13 wins & 55 nominations.,20th Century Fox,R,77,8.1,"587,211"
tt5782146,The Man with the Magic Box,movie,2017,"Italy, Poland","Drama, Romance, Sci-Fi",2 wins & 3 nominations.,N/A,N/A,N/A,5.6,397
tt4693358,OtherLife,movie,2017,"Australia, United Arab Emirates","Crime, Mystery, Sci-Fi, Thriller",N/A,N/A,N/A,N/A,6.3,"11,733"
tt3717490,Power Rangers,movie,2017,"USA, Hong Kong, Japan, Mexico, Canada, New Zealand","Action, Adventure, Sci-Fi",6 nominations.,Lionsgate Films,PG-13,44,5.9,"95,172"
tt5669936,The Recall,movie,2017,Canada,"Action, Sci-Fi, Thriller",1 win.,Freestyle Releasing,R,N/A,4.4,"6,390"
tt2592614,Resident Evil: The Final Chapter,movie,2016,"USA, Germany, France, Canada, South Africa, Australia, UK, Japan","Action, Horror, Sci-Fi, Thriller",1 win & 3 nominations.,Sony Pictures,R,49,5.5,"77,161"
tt3722614,Revolt,movie,2017,UK,"Action, Sci-Fi, War",1 nomination.,Voltage Pictures,R,N/A,5.2,"7,146"
tt3922818,The Space Between Us,movie,2017,USA,"Drama, Romance, Sci-Fi",4 nominations.,STX Entertainment,PG-13,33,6.4,"42,781"
tt3486354,Star Wars: The Last Jedi,movie,2008,USA,"Short, Action, Fantasy, Sci-Fi",N/A,N/A,N/A,N/A,8.3,87
tt3501632,Thor: Ragnarok,movie,2017,USA,"Action, Adventure, Comedy, Fantasy, Sci-Fi",5 wins & 30 nominations.,Walt Disney Pictures,PG-13,74,7.9,"516,330"
tt3371366,Transformers: The Last Knight,movie,2017,"USA, China, Canada","Action, Adventure, Sci-Fi",16 nominations.,Paramount Pictures,PG-13,27,5.2,"123,812"
tt2239822,Valerian and the City of a Thousand Planets,movie,2017,"France, China, Belgium, Germany, United Arab Emirates, USA","Action, Adventure, Fantasy, Sci-Fi",8 nominations.,EuropaCorp / STXfilms,PG-13,51,6.5,"146,570"
tt3450958,War for the Planet of the Apes,movie,2017,"USA, Canada, New Zealand","Action, Adventure, Drama, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 22 wins & 46 nominations.,20th Century Fox,PG-13,82,7.4,"208,809"
tt6359082,Werewolves of the Third Reich,movie,2017,UK,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller, War",N/A,N/A,Not Rated,N/A,2.7,300
tt1536537,What Happened to Monday,movie,2017,"UK, France, Belgium","Action, Crime, Drama, Mystery, Sci-Fi, Thriller",1 nomination.,Netflix,TV-MA,47,6.9,"89,639"
