IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt1634121,Intruders,movie,2011,"USA, UK, Spain","Fantasy, Horror, Thriller",1 win & 5 nominations.,Millennium Entertainment,R,45,5.4,"19,530"
tt3843168,Z Nation,series,2014–2018,USA,"Action, Comedy, Drama, Horror, Sci-Fi",N/A,NA,TV-14,N/A,6.7,"30,218"
tt0360486,Constantine,movie,2005,"USA, Germany","Action, Fantasy, Horror, Mystery",2 wins & 9 nominations.,Warner Bros. Pictures,R,50,7.0,"284,322"
tt1220214,Heartless,movie,2009,UK,"Drama, Fantasy, Horror",6 wins & 1 nomination.,Lionsgate,N/A,58,6.0,"9,628"
tt5680206,Darr Sabko Lagta Hai,series,2015–,India,Horror,N/A,NA,N/A,N/A,N/A,N/A
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt3498622,Fortitude,series,2015–2018,UK,"Drama, Horror, Mystery, Thriller",2 wins & 2 nominations.,NA,TV-MA,N/A,7.4,"18,069"
tt2521668,The Returned,series,2012–,France,"Drama, Fantasy, Horror, Mystery",3 wins & 4 nominations.,NA,TV-MA,N/A,8.2,"18,535"
tt3501584,iZombie,series,2015–2019,USA,"Comedy, Crime, Drama, Horror",1 win & 7 nominations.,NA,TV-14,N/A,7.9,"56,132"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt2618986,Wayward Pines,series,2015–2016,USA,"Drama, Mystery, Sci-Fi, Thriller",2 wins & 9 nominations.,NA,TV-14,N/A,7.4,"49,319"
tt3487410,The Whispers,series,2015,USA,"Drama, Horror, Mystery, Sci-Fi, Thriller",Nominated for 1 Primetime Emmy. Another 3 nominations.,NA,TV-14,N/A,7.2,"9,998"
tt0117571,Scream,movie,1996,USA,"Horror, Mystery",7 wins & 8 nominations.,Miramax Films,R,65,7.2,"265,806"
tt3743822,Fear the Walking Dead,series,2015–,USA,"Drama, Horror, Sci-Fi, Thriller",15 nominations.,NA,TV-MA,N/A,6.9,"104,016"
tt4145384,Scream Queens,series,2015–2016,USA,"Comedy, Horror, Mystery",Nominated for 1 Golden Globe. Another 3 wins & 18 nominations.,NA,TV-14,N/A,7.1,"32,185"
tt5419220,Kagewani,series,2015–,Japan,"Animation, Short, Horror",N/A,NA,N/A,N/A,6.2,38
tt4189022,Ash vs Evil Dead,series,2015–2018,USA,"Action, Comedy, Fantasy, Horror",9 wins & 18 nominations.,NA,TV-MA,N/A,8.5,"59,097"
tt4147780,South of Hell,series,2015–,USA,"Drama, Fantasy, Horror, Thriller",N/A,NA,N/A,N/A,5.4,"1,413"
tt5189670,Making a Murderer,series,2015–,USA,"Documentary, Crime",Won 4 Primetime Emmys. Another 9 wins & 11 nominations.,NA,TV-14,N/A,8.6,"79,488"
tt5079104,Re-Kan!,series,2015–,Japan,"Animation, Comedy, Fantasy",N/A,NA,TV-14,N/A,4.5,39
tt5105452,School-Live!,series,2015–,Japan,"Animation, Drama, Horror, Mystery",N/A,NA,TV-14,N/A,7.2,414
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt4145054,Shadowhunters,series,2016–2019,USA,"Action, Drama, Fantasy, Romance",4 wins & 5 nominations.,NA,TV-14,N/A,6.6,"47,456"
tt6215712,Ajin: Demi-Human,movie,2017,Japan,"Action, Horror, Mystery",N/A,N/A,N/A,N/A,6.5,"1,130"
tt4052886,Lucifer,series,2015–,USA,"Crime, Drama, Fantasy",6 nominations.,NA,TV-14,N/A,8.2,"169,407"
tt4667888,Slasher,series,2016–,"Canada, UK, USA","Drama, Horror, Mystery",1 win & 3 nominations.,NA,Not Rated,N/A,6.7,"9,425"
tt4337944,Damien,series,2016,USA,"Drama, Horror",1 nomination.,NA,N/A,N/A,6.9,"6,949"
tt4539954,Houdini and Doyle,series,2016,"Canada, UK","Crime, Drama, Fantasy, Mystery",N/A,NA,TV-14,N/A,7.4,"2,483"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt4878326,Wynonna Earp,series,2016–,"Canada, USA","Action, Drama, Fantasy, Mystery, Thriller, Western",2 wins & 7 nominations.,NA,TV-14,N/A,7.4,"15,307"
tt0416315,Wolf Creek,movie,2005,Australia,"Horror, Thriller",3 wins & 26 nominations.,Weinstein Company,R,54,6.2,"64,352"
tt4229954,Outcast,series,2016–2017,USA,"Drama, Horror",4 nominations.,NA,TV-MA,N/A,7.4,"17,161"
tt5016504,Preacher,series,2016–2019,N/A,"Adventure, Drama, Fantasy, Horror, Mystery",6 nominations.,NA,TV-MA,N/A,8.0,"61,921"
tt4877736,BrainDead,series,2016,USA,"Comedy, Drama, Horror, Sci-Fi, Thriller",N/A,NA,TV-14,N/A,8.1,"9,354"
tt5257744,American Gothic,series,2016,USA,"Crime, Drama, Mystery, Thriller",N/A,NA,N/A,N/A,6.7,"3,973"
tt5210998,Dead of Summer,series,2016,USA,"Drama, Fantasy, Horror, Mystery, Thriller",1 win & 1 nomination.,NA,N/A,N/A,6.2,"4,066"
tt4928166,The Living and the Dead,series,2016,UK,"Drama, Horror, Thriller",3 nominations.,NA,TV-14,N/A,7.5,"2,878"
tt4574334,Stranger Things,series,2016–,USA,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Nominated for 4 Golden Globes. Another 32 wins & 114 nominations.,NA,TV-14,N/A,8.8,"674,756"
tt5788812,Crow's Blood,series,2016–,Japan,"Drama, Horror, Sci-Fi, Thriller",N/A,NA,N/A,N/A,6.8,143
tt0338526,Van Helsing,movie,2004,"USA, Czech Republic, Romania","Action, Adventure, Fantasy",3 wins & 20 nominations.,N/A,PG-13,35,6.1,"232,486"
tt0070047,The Exorcist,movie,1973,USA,Horror,Won 2 Oscars. Another 14 wins & 17 nominations.,Warner Bros. Pictures,R,81,8.0,"341,873"
tt4581576,Aftermath,movie,2017,"USA, UK","Drama, Thriller",N/A,Lionsgate Premiere,R,44,5.7,"18,862"
tt4820370,Channel Zero,series,2016–2018,USA,"Drama, Horror, Mystery, Thriller",7 nominations.,NA,TV-14,N/A,7.2,"7,686"
