IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt0186508,Buena Vista Social Club,movie,1999,"Germany, USA, UK, France, Cuba","Documentary, Music",Nominated for 1 Oscar. Another 20 wins & 10 nominations.,Artisan Entertainment,G,81,7.6,"15,564"
tt0072751,Bugs Bunny Superstar,movie,1975,USA,"Documentary, Animation, Family",N/A,Warner Home Video,Unrated,N/A,7.1,342
tt0456864,Bukowski,movie,1973,USA,Documentary,1 win.,N/A,N/A,N/A,7.7,52
tt0083702,Burden of Dreams,movie,1982,USA,Documentary,4 wins & 1 nomination.,Flower Films,Not Rated,N/A,7.9,"5,736"
tt0252302,Buried Country,movie,2000,Australia,"Documentary, History, Music",1 win.,N/A,N/A,N/A,N/A,N/A
tt1333634,Burma VJ: Reporting from a Closed Country,movie,2008,"Denmark, Sweden, Norway, UK, USA, Germany, Netherlands, Israel, Spain, Belgium, Canada","Documentary, History, News",Nominated for 1 Oscar. Another 16 wins & 10 nominations.,Oscilloscope Pictures,Unrated,82,8.0,"2,270"
tt0340468,Bus 174,movie,2002,Brazil,"Documentary, Crime",13 wins & 6 nominations.,ThinkFilm Inc,R,83,7.8,"7,585"
tt7202190,Bunkar: The Last of the Varanasi Weavers,movie,2018,India,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tt0805501,Buy Bye Beauty,movie,2001,Sweden,Documentary,N/A,N/A,N/A,N/A,3.4,82
tt1909808,Nan va eshgh va motor 1000,movie,2002,Iran,Comedy,N/A,N/A,N/A,N/A,5.8,372
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1301130,Call + Response,movie,2008,USA,"Documentary, History, Music",N/A,Fair Trade Pictures,PG-13,43,7.4,52
tt2088714,Call Me Kuchu,movie,2012,"USA, Uganda","Documentary, Drama",14 wins & 12 nominations.,Cinedigm,Not Rated,80,7.6,727
tt3899932,Call Me Lucky,movie,2015,USA,"Documentary, Biography, Comedy",6 wins & 2 nominations.,MPI Media Group,N/A,64,7.6,"1,869"
tt0026164,Call of the Wild,movie,1935,USA,"Action, Adventure, Drama, Romance, Western",N/A,20th Century Fox Film Corporation,Approved,N/A,6.8,"1,626"
tt0260775,Calle 54,movie,2000,"Spain, France, Italy, Mexico, Belgium","Documentary, Music",4 wins & 4 nominations.,Miramax Films,G,84,7.5,722
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0130529,Cane Toads: An Unnatural History,movie,1988,Australia,"Documentary, Comedy",N/A,Facets Video,N/A,N/A,7.8,"1,035"
tt0199399,Cannibal Tours,movie,1988,Australia,Documentary,N/A,N/A,N/A,N/A,7.9,183
tt1232207,Capitalism: A Love Story,movie,2009,USA,"Documentary, Crime, News",4 wins & 12 nominations.,Overture Films,R,61,7.4,"39,897"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0342172,Capturing the Friedmans,movie,2003,USA,"Documentary, Biography",Nominated for 1 Oscar. Another 25 wins & 15 nominations.,Magnolia,Not Rated,90,7.7,"22,702"
tt1540814,Casino Jack and the United States of Money,movie,2010,USA,Documentary,1 nomination.,Magnolia Pictures,R,68,7.1,"1,529"
tt0060220,Castro Street,movie,1966,USA,Short,1 win.,N/A,N/A,N/A,6.4,313
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1664894,Cave of Forgotten Dreams,movie,2010,"Canada, USA, France, Germany, UK","Documentary, History",11 wins & 20 nominations.,IFC Films,G,86,7.4,"14,214"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0424885,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,movie,2004,USA,"Documentary, War",N/A,Citizens United,R,42,4.4,"1,367"
tt0106536,The Cemetery Club,movie,1993,USA,Comedy,1 win.,Métropole Films,PG-13,N/A,5.9,707
tt0272022,Chain Camera,movie,2001,USA,Documentary,1 nomination.,FilmBuff,NOT RATED,68,6.7,153
tt0017743,Chang: A Drama of the Wilderness,movie,1927,USA,"Adventure, Documentary",N/A,Paramount Pictures,PASSED,N/A,7.2,740
tt6333054,Chasing Coral,movie,2017,USA,Documentary,6 wins & 15 nominations.,Netflix,N/A,86,8.1,"3,323"
tt0860834,Cheat You Fair: The Story of Maxwell Street,movie,2006,USA,"Documentary, History",N/A,N/A,N/A,N/A,7.9,17
tt0396959,Chernobyl Heart,movie,2003,USA,"Documentary, Short",Won 1 Oscar. Another 1 nomination.,N/A,N/A,N/A,7.9,678
tt0162243,Chicken Ranch,movie,1983,"UK, USA",Documentary,1 nomination.,N/A,Unrated,N/A,6.6,286
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0478116,China Blue,movie,2005,USA,Documentary,1 win.,Independent Television Service,N/A,73,7.5,531
tt0054745,Chronicle of a Summer,movie,1961,France,Documentary,1 win.,Pathé Contemporary Films,Not Rated,N/A,7.6,"2,249"
tt0279734,Cinerama Adventure,movie,2002,USA,Documentary,1 nomination.,N/A,N/A,N/A,7.9,276
tt1202349,City of Water,movie,2008,USA,Documentary,N/A,N/A,N/A,N/A,N/A,N/A
tt0368542,Shattered City: The Halifax Explosion,series,2003–,Canada,"Drama, History",8 wins & 6 nominations.,NA,TV-MA,N/A,6.7,291
tt3485908,Civil War: The Untold Story,series,2014,USA,Documentary,N/A,NA,N/A,N/A,7.7,15
tt1638362,Client 9: The Rise and Fall of Eliot Spitzer,movie,2010,USA,Documentary,8 nominations.,Magnolia Pictures,R,68,7.4,"2,116"
tt0043667,I'd Climb the Highest Mountain,movie,1951,USA,"Biography, Drama, Romance",N/A,20th Century Fox Film Corporation,PASSED,N/A,6.9,370
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0380268,Cocaine Cowboys,movie,2006,USA,"Documentary, Crime, History",N/A,Magnolia Pictures,R,59,7.8,"11,980"
tt1176726,Cocaine Cowboys 2,movie,2008,USA,"Documentary, Crime, History",N/A,Rakontur,Not Rated,N/A,6.7,"2,659"
tt0068389,Cocksucker Blues,movie,1972,USA,"Documentary, Music",N/A,N/A,N/A,N/A,6.5,699
tt9095324,Coldplay: A Head Full of Dreams,movie,2018,UK,"Documentary, Music",N/A,Trafalgar Releasing,N/A,64,8.0,"2,075"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0342213,Comandante,movie,2003,"USA, Spain",Documentary,N/A,Mediapro,Not Rated,N/A,6.9,"3,512"
tt0094897,Comic Book Confidential,movie,1988,"Canada, USA","Documentary, History",2 wins & 1 nomination.,New Video Group,Unrated,N/A,7.0,780
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0391024,Control Room,movie,2004,USA,Documentary,9 wins & 10 nominations.,Magnolia Pictures,Not Rated,79,7.8,"4,928"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0115952,Cosmic Voyage,movie,1996,USA,"Documentary, Short",N/A,IMAX,N/A,N/A,7.6,650
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1202230,Courting Condi,movie,2008,USA,N/A,5 wins & 2 nominations.,N/A,N/A,N/A,7.5,31
tt0880617,Frankenstein vs. the Creature from Blood Cove: The Making of,movie,2005,USA,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A
tt0210677,Crazy English,movie,1999,China,Documentary,1 nomination.,N/A,N/A,N/A,6.4,69
tt0790706,Crazy Love,movie,2007,USA,"Documentary, Romance",5 wins & 5 nominations.,ThinkFilm,PG-13,69,7.0,"2,315"
tt4124980,Creators: The Past,movie,2016,Italy,Fantasy,N/A,N/A,N/A,N/A,N/A,N/A
tt1746153,Crime After Crime,movie,2011,USA,"Documentary, Biography, Crime, News",12 wins & 2 nominations.,Independent Pictures,Not Rated,72,7.6,448
tt0861699,Cruel and Unusual,movie,2006,USA,"Documentary, Crime",2 wins & 1 nomination.,N/A,NOT RATED,N/A,6.8,52
tt0109508,Crumb,movie,1994,USA,"Documentary, Biography, Comedy",16 wins & 5 nominations.,Sony Pictures Home Entertainment,R,93,8.0,"16,991"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0953363,Dalai Lama Renaissance,movie,2007,USA,Documentary,2 wins.,Fortune Features,N/A,N/A,6.8,53
tt0379752,Dangerous Living: Coming Out in the Developing World,movie,2003,USA,Documentary,N/A,After Stonewall Productions,Not Rated,N/A,7.1,136
tt0979869,Darius Goes West,movie,2007,USA,Documentary,14 wins.,N/A,N/A,N/A,8.7,254
tt0424024,Darwin's Nightmare,movie,2004,"Austria, Belgium, France, Germany",Documentary,Nominated for 1 Oscar. Another 16 wins & 4 nominations.,Ad Vitam,N/A,84,7.6,"5,210"
tt0425598,Dave Chappelle's Block Party,movie,2005,USA,"Documentary, Comedy, Music",3 wins & 4 nominations.,Rogue Pictures,R,84,7.2,"8,510"
tt0042384,Day of the Fight,movie,1951,USA,"Documentary, Short, Sport",N/A,N/A,Approved,N/A,6.3,"3,663"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0852951,Dead On: The Life and Cinema of George A. Romero,movie,2008,USA,"Documentary, Biography",N/A,N/A,N/A,N/A,5.9,24
tt1152758,Dear Zachary: A Letter to a Son About His Father,movie,2008,USA,"Documentary, Biography, Crime, Drama",1 win & 5 nominations.,Oscilloscope Pictures,Not Rated,82,8.6,"30,174"
tt0356409,The Best of Banned and Death Faces,movie,2001,USA,Documentary,N/A,N/A,N/A,N/A,4.0,40
tt0114684,Gesualdo: Death for Five Voices,movie,1995,Germany,"Documentary, Biography, Crime",N/A,N/A,N/A,N/A,7.0,570
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0293087,Destination Hitchcock: The Making of 'North by Northwest',movie,2000,USA,"Documentary, Short",N/A,N/A,N/A,N/A,7.2,247
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt8616150,DiAna's Hair Ego Remix,movie,2017,USA,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt5433114,Diego Maradona,movie,2019,UK,"Documentary, Biography, Sport",N/A,HBO Sports,TV-14,78,7.7,"3,817"
tt5931960,Dimona Twist,movie,2016,Israel,"Documentary, History",N/A,N/A,N/A,N/A,N/A,N/A
tt5156540,"The Diplomat, the Artist and the Suit",movie,2015,Australia,Documentary,1 nomination.,N/A,N/A,N/A,N/A,N/A
tt0150338,Divine Trash,movie,1998,USA,Documentary,2 wins & 1 nomination.,Stratosphere Entertainment,N/A,N/A,7.7,979
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt3997238,Do I Sound Gay?,movie,2014,USA,Documentary,1 win & 1 nomination.,IFC Films,Unrated,65,5.6,"1,685"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0061589,Bob Dylan: Dont Look Back,movie,1967,USA,"Documentary, Music",4 wins.,Docurama,Not Rated,N/A,8.0,"7,743"
tt0090965,Down and Out in America,movie,1986,USA,Documentary,Won 1 Oscar. Another 1 win.,N/A,Unrated,N/A,7.0,67
tt0284067,Down from the Mountain,movie,2000,USA,"Documentary, Music",2 nominations.,Cowboy Booking,G,75,7.4,582
tt1486843,Drew: The Man Behind the Poster,movie,2013,USA,"Documentary, Biography",3 wins & 3 nominations.,Kino Lorber,Not Rated,59,7.5,857
tt0869046,Dust to Dust: The Health Effects of 9/11,movie,2006,USA,Documentary,N/A,N/A,N/A,N/A,8.6,29
tt9296702,"Teug, chaudronnerie d'art",movie,1989,"Senegal, France","Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0358456,Earthlings,movie,2005,USA,"Documentary, Horror",N/A,N/A,N/A,N/A,8.7,"16,528"
tt0162941,Echoes From a Somber Empire,movie,1990,"France, Germany",Documentary,1 win.,New Yorker Films,N/A,N/A,7.4,421
tt2578610,Eclipse of Reason,movie,1987,N/A,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0238199,Empire of the Air: The Men Who Made Radio,movie,1991,USA,"Documentary, History",Nominated for 1 Primetime Emmy. Another 1 nomination.,N/A,TV-G,N/A,7.7,408
tt1093824,Encounters at the End of the World,movie,2007,USA,Documentary,Nominated for 1 Oscar. Another 2 wins & 14 nominations.,ThinkFilm,G,80,7.7,"16,340"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1016268,Enron: The Smartest Guys in the Room,movie,2005,USA,"Documentary, Biography, History",Nominated for 1 Oscar. Another 3 wins & 10 nominations.,Magnolia Pictures,R,N/A,7.6,"15,598"
tt0810970,Everything's Cool,movie,2007,USA,Documentary,1 nomination.,City Lights Media/Green Owl/Red Envelope,NOT RATED,54,6.8,200
tt6209282,Ex Libris: The New York Public Library,movie,2017,USA,Documentary,5 wins & 21 nominations.,Zipporah Films,N/A,91,7.5,843
tt0330267,Expedition: Bismarck,movie,2002,USA,Documentary,Won 1 Primetime Emmy. Another 5 nominations.,N/A,N/A,N/A,7.5,744
tt1091617,Expelled: No Intelligence Allowed,movie,2008,USA,Documentary,2 wins.,Rocky Mountain Pictures,PG,20,3.8,"11,677"
tt0071480,Exploratorium,movie,1974,USA,"Documentary, Short",N/A,N/A,N/A,N/A,6.3,9
tt0455940,EXPO: Magic of the White City,movie,2005,USA,"Documentary, History",N/A,Inecom Entertainment,PG,N/A,7.5,147
tt2415652,Exposing Homelessness,movie,2006,USA,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A
tt7955940,Eyes and Ears of God: Video Surveillance of Sudan,movie,2012,Slovenia,Documentary,N/A,N/A,N/A,N/A,N/A,N/A
tt1010393,Facing Sudan,movie,2007,USA,"Documentary, History, War",N/A,N/A,N/A,N/A,7.7,9
tt3469348,For Which WE Stand (One Queer Music Nation in the Visible),movie,2015,USA,Documentary,N/A,N/A,N/A,N/A,N/A,N/A
tt0288519,Facing the Music,movie,2001,Australia,"Documentary, Biography, Music",6 wins & 1 nomination.,N/A,N/A,77,8.6,85
tt1320378,Fagbug,movie,2009,USA,"Documentary, Adventure, Drama",N/A,Unknown,Not Rated,N/A,6.8,134
tt0361596,Fahrenheit 9/11,movie,2004,USA,"Documentary, Drama, War",29 wins & 16 nominations.,Lions Gate,R,67,7.5,"123,317"
tt0427228,Fahrenhype 9/11,movie,2004,USA,Documentary,N/A,Savage Pictures,NOT RATED,N/A,4.9,"3,555"
tt1371712,Fairytale of Kathmandu,movie,2007,"Ireland, UK",Documentary,2 wins & 2 nominations.,Vinigar Hill Productions,N/A,N/A,7.7,40
tt1649326,Fambul Tok,movie,2011,USA,Documentary,1 win & 2 nominations.,First Run Features,TV-MA,N/A,7.6,34
tt0119107,"Fast, Cheap & Out of Control",movie,1997,USA,Documentary,10 wins & 2 nominations.,Sony Pictures Home Entertainment,PG,N/A,7.3,"3,418"
tt0455949,Favela Rising,movie,2005,USA,Documentary,15 wins & 3 nominations.,ThinkFilm Inc,TV-14,65,7.2,618
tt1558152,Fear of a Black Republican,movie,2011,USA,"Documentary, History",N/A,N/A,N/A,N/A,6.1,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt4365762,Feiyu Show,movie,2014,China,Documentary,N/A,N/A,N/A,N/A,N/A,N/A
tt0372279,Festival Express,movie,2003,"UK, Netherlands","Documentary, History, Music",1 win & 2 nominations.,ThinkFilm Inc.,R,85,7.6,"2,067"
tt1351746,Fig Trees,movie,2009,Canada,Documentary,3 wins.,N/A,N/A,N/A,6.9,47
tt1470583,Fight for the Planet,movie,2009,Canada,Documentary,N/A,N/A,N/A,N/A,7.5,8
tt0246620,Fighting Norway,movie,1943,Canada,"Documentary, Short, War",N/A,N/A,N/A,N/A,N/A,N/A
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt5254610,Final Score,movie,2018,UK,"Action, Drama, Thriller",N/A,Saban Films,R,53,5.7,"7,731"
