Title
Mom and Dad
The Nun
The Open House
Overlord
Patient Zero
The Predator
Puppet Master: The Littlest Reich
A Quiet Place
Slender Man
The Strangers: Prey at Night
Truth or Dare
Unfriended: Dark Web
Unsane
Wildling
Winchester
3 from Hell
Annabelle Comes Home
Brightburn
Child's Play
Crawl
Escape Room
Happy Death Day 2U
Haunt
It Chapter 2
Ma
Midsommar
Pet Sematary
The Prodigy
Ready or Not
Scary Stories to Tell in the Dark
Sweetheart
The Curse of La Llorona
The Russian Bride [es]
Us
Velvet Buzzsaw
Happy Town 
Haven 
Highschool of the Dead
Shiki
Lost Girl 
Todd and the Book of Pure Evil 
R. L. Stine's The Haunting Hour: The Series 
The Walking Dead 
Becoming Human
Unsealed Alien Files 
American Horror Story 
Anhoniyon Ka Andhera 
Supernatural: The Anime Series 
Being Human 
Blood-C
Deadman Wonderland 
Death Valley 
The Strange Calls 
Dororon Enma-kun Meeramera 
Garo: Makai Senki 
Gosick
Kaala Saaya 
Teen Wolf 
The Secret Circle 
Yōkai Ningen Bem 
Grimm 
Black Mirror 
Femme Fatales 
Another
Bhairavi Aavigalukku Priyamanaval 
Gravity Falls 
The River 
Holliston 
Btooom! 
666 Park Avenue 
Oka Tokat 
Shi to Kanojo to Boku 
Deadtime Stories 
The Returned 
Ripper Street 
Cassandra: Warrior Angel 
Darknet 
Ek Thhi Naayka 
In the Flesh 
Bates Motel 
Hannibal 
Garo: Yami o Terasu Mono 
Hemlock Grove 
Sleepy Hollow 
The Originals 
Ravenswood 
Higanjima 
Dracula 
Pupipō!
Yamishibai: Japanese Ghost Stories
Spooksville 
Bitten 
Inside No. 9 
From Dusk till Dawn: The Series 
Garo: Makai no Hana 
Helix 
M3 the dark metal 
Salem 
Parasyte -the maxim-
Penny Dreadful 
Pupa
Terra Formars 
Tokyo Ghoul
The Strain 
In Search of Aliens 
Intruders 
Z Nation 
Constantine 
Heartless 
Darr Sabko Lagta Hai 
Dhruv Raj Sharma 
Fortitude 
The Returned 
iZombie 
Garo: Gold Storm Sho 
Wayward Pines 
The Whispers 
Scream 
Fear the Walking Dead 
Scream Queens 
Kagewani 
Ash vs Evil Dead 
South of Hell 
Making a Murderer 
Re-Kan!
School-Live!
Tokyo Ghoul √A
Zindagi Abhi Baaki Hai Mere Ghost 
Shadowhunters 
Ajin: Demi-Human 
Lucifer 
Slasher 
Damien 
Houdini and Doyle 
Higurashi When They Cry
Terra Formars Revenge 
Wynonna Earp 
Wolf Creek 
Outcast 
Preacher 
BrainDead 
American Gothic 
Dead of Summer 
The Living and the Dead 
Stranger Things 
Crow's Blood 
Van Helsing 
The Exorcist 
Aftermath 
Channel Zero 
Crazyhead 
Stan Against Evil 
Trollhunters 
Bunnicula 
Santa Clarita Diet 
"Midnight, Texas "
The Mist 
Castlevania 
The Better Half 
Mindhunter 
Hotel Transylvania: The Series 
Tales from the Crypt 
Time of Death 
Creatures 
The Terror 
Blood Drive 
Electric Dreams 
Vampirina 
Legend Quest 
Ghosted 
Creeped Out 
The Dark Tower 
Saaya 
Mr. Mercedes 
Dimension 404 
Locke and Key 
Underworld 
Into the Dark 
Tremors 
The Lost Boys 
Empire of the Dead 
Let the Right One In 
Amazing Stories 
The Twilight Zone 
Hack/Slash 
NOS4A2
Lore 
Rabid 
Paranormal Event Response Unit 
Nightmare Time 
The People Under the Stairs 
Castle Rock 
The Chilling Adventures of Sabrina
The Passage 
The Haunting of Hill House
Magical Girl Site
Lovecraft Country
Carnival Row
Swamp Thing
Sam and Twitch
Locke and Key
Nightbreed
