Title
Power Rangers
The Recall
Resident Evil: The Final Chapter
Revolt
The Space Between Us
Star Wars: The Last Jedi
Thor: Ragnarok
Transformers: The Last Knight
Valerian and the City of a Thousand Planets
War for the Planet of the Apes
Werewolves of the Third Reich
What Happened to Monday
Annihilation
Anon
Ant-Man and the Wasp
Avengers: Infinity War
Black Panther
Bumblebee
The Cloverfield Paradox
Deadpool 2
Extinction
The First Purge
Forsaken
Godzilla: City on the Edge of Battle
Godzilla: The Planet Eater
High Life
Hotel Artemis
The Humanity Bureau
Jurassic World: Fallen Kingdom
Kin
Maze Runner: The Death Cure
Mortal Engines
Mute
Overlord
Pacific Rim Uprising
The Predator
Prospect
Ready Player One
Solo: A Star Wars Story
The Titan
Upgrade
Venom
Ad Astra
Alita: Battle Angel
Aniara
Avengers: Endgame
Brightburn
Captain Marvel
Captive State
Crazy Alien
Dark Phoenix
Gemini Man
Godzilla: King of the Monsters
I Am Mother
In the Shadow of the Moon
Io
Iron Sky: The Coming Race
Men in Black: International
Project Ghazi
Replicas
Shanghai Fortress
Short Circuit
Terminator: Dark Fate
The Wandering Earth
Code 8
Star Wars: The Rise of Skywalker
The Three-Body Problem
Warriors of Future
